Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Energy_in_Watt_hour_per_kg
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",0.0,Cathode,0.0165350784474122,0.8212180746561886,0.8999589831831051,0.032817000923963266
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",0.00018177075019425818,Cathode,0.02250939806432044,0.8408644400785853,0.8999589831831051,0.045752486548181974
HHC-20,"[{'H': '2.0', 'C': '1.0'}]",0.00019804008437846135,Anode,0.09420123346721937,0.4872298624754419,0.8999589831831051,0.09266951285642995
Silicon monoxide,"[{'Si': '0.0', 'O': '1.0'}]",0.0002298685833975572,Anode,0.160837875348119,0.4872298624754419,0.8999589831831051,0.09266951285642995
LiB,"[{'Li': '1.0', 'B': '1.0'}]",0.00025813009545761644,Cathode,0.10155424222649105,0.4872298624754419,0.8999589831831051,0.09266951285642995
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",0.00026240725176596353,Cathode,0.05828638130865173,0.4872298624754419,0.6698646445042468,0.09266951285642995
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",0.00035936150815932494,Cathode,0.02250939806432044,0.2573673870333988,0.8999589831831051,0.014113810533181155
CCH / C-based oxygen,"[{'C': '2.0', 'H': '1.0'}]",0.00037563084234352816,Cathode,0.8042261417843913,0.4872298624754419,0.8999589831831051,0.09266951285642995
CN-380,"[{'C': '1.0', 'N': '1.0'}]",0.00039157737227804476,Anode,0.015822755723857756,0.8212180746561886,0.19867145529667163,0.031401706614489926
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",0.0003964678566607963,Anode,0.1447531686872122,0.004322200392927309,0.8999589831831051,0.0028218924941572914
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",0.00040784670646224787,Cathode,0.029724537909355784,0.8408644400785853,0.8999589831831051,0.06042937116147617
HCO,"[{'H': '1.0', 'C': '1.0', 'O': '1.0'}]",0.0004399980097310303,Anode,0.11649004126876165,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",0.0004538947326800372,Cathode,0.062031820145405744,0.9390962671905696,0.8999589831831051,0.14082287080819614
CBC,"[{'C': '2.0', 'B': '1.0'}]",0.0005338372051149164,Anode,0.0310802488993465,0.4872298624754419,0.8999589831831051,0.09266951285642995
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",0.0006175887676960971,Anode,0.01952223825586632,0.8605108055009822,0.8999589831831051,0.04060003261046797
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",0.0006187992836324216,Anode,0.09282254432485593,0.01571709233791748,0.9859942576456346,0.024620903309962503
Si0.71Ge0.29,"[{'Si': '0.71', 'Ge': '0.29'}]",0.000633439263366332,Anode,0.19323707019365985,0.4872298624754419,0.8999589831831051,0.09266951285642995
BP-C,"[{'B': '1.0', 'P': '1.0'}]",0.0006460439623059682,Cathode,0.21138981056811182,0.4479371316306482,0.9869946678138037,0.2299581498994511
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",0.0006498046318148169,Anode,0.05996378643186059,0.5854616895874263,0.8999589831831051,0.08505897059622806
